,input,vote
0,Action,-0.13526975152005727
1,Adventure,-0.046243686906069253
2,Fantasy,-0.058376375054749484
3,Science Fiction,-0.06872857622218984
4,Thriller,-0.07930844989795005
5,Horror,-0.16200561642325098
6,Comedy,-0.19627155125333684
7,Foreign,-0.00977821276650304
8,Family,-0.05372224020263493
9,Robert Rodriguez,-0.03601963893753412
10,Renny Harlin,-0.047194939033688335
11,Steven Soderbergh,-0.0010407353499863811
12,Joel Schumacher,-0.009256522263666066
13,Bobby Farrelly,-0.033090432839692215
14,Kevin Smith,-0.0015407047631017835
15,Paul W.S. Anderson,-0.03266609111637205
16,Wes Craven,-0.02358407495882984
17,Shawn Levy,-0.01839435144023357
18,Rob Cohen,-0.04869278125630899
19,M. Night Shyamalan,-0.025446988294904452
20,Roland Emmerich,-0.01746237767574584
21,Adam Shankman,-0.016012256832591904
22,Dennis Dugan,-0.03486382779358457
23,Brett Ratner,-0.010035131189342694
24,Martin Campbell,-0.0069351241886358335
25,George Miller,-0.0022851136875753288
26,Tom Shadyac,-0.009260129439166034
27,Todd Phillips,-0.006935124188635863
28,Simon West,-0.023210160942347246
29,Phillip Noyce,-0.0007351101872218975
30,Barry Sonnenfeld,-0.004610118938105552
31,Garry Marshall,-0.013135138190049633
32,Jay Roach,-0.010810132939519431
33,Harold Ramis,-0.006160122438459083
34,Paramount Pictures,-0.008739328997753933
35,Columbia Pictures,-0.0235409276572512
36,Twentieth Century Fox Film Corporation,-0.020230459875521266
37,New Line Cinema,-0.03502625467684255
38,Village Roadshow Pictures,-0.03634695340234402
39,Columbia Pictures Corporation,-0.01604117727683617
40,year,-0.19267419318654064
